starttime,endtime,label,value
1609584463495,1609584463966,5,471
1609584465613,1609584465972,5,359
1609584467210,1609584467580,5,370
1609584468864,1609584469227,5,363
1609584470217,1609584470584,5,367
1609584471596,1609584471946,5,350
1609584472989,1609584473363,5,374
1609584474161,1609584474531,5,370
1609584475186,1609584475550,5,364
1609584476559,1609584476933,5,374
1609584482991,1609584484374,10,1383
1609584486039,1609584487382,10,1343
1609584488848,1609584490254,10,1406
1609584491514,1609584492879,10,1365
1609584494224,1609584495611,10,1387
1609584496844,1609584498247,10,1403
1609584499109,1609584500492,10,1383
1609584501607,1609584502978,10,1371
1609584504049,1609584505413,10,1364
1609584506319,1609584507692,10,1373
1609584513109,1609584516223,15,3114
1609584517391,1609584520480,15,3089
1609584521330,1609584524378,15,3048
1609584532488,1609584535624,15,3136
1609584540118,1609584543203,15,3085
1609584545152,1609584548248,15,3096
1609584553330,1609584556446,15,3116
1609584557771,1609584560862,15,3091
1609584562656,1609584565755,15,3099
1609584573755,1609584576842,15,3087
1609584578790,1609584581915,15,3125
1609584589294,1609584594834,20,5540
1609584596359,1609584601852,20,5493
1609584603602,1609584609086,20,5484
1609584610417,1609584615930,20,5513
1609584617093,1609584622602,20,5509
1609584623675,1609584629279,20,5604
1609584630197,1609584635705,20,5508
1609584637316,1609584642887,20,5571
1609584648856,1609584654401,20,5545
1609584655976,1609584661493,20,5517
1609584663021,1609584668529,20,5508
1609584676846,1609584685499,25,8653
1609584686790,1609584695449,25,8659
1609584696929,1609584705576,25,8647
1609584707043,1609584715726,25,8683
1609584716809,1609584725426,25,8617
1609584726805,1609584735461,25,8656
1609584736680,1609584745379,25,8699
1609584748485,1609584757090,25,8605
1609584759577,1609584768204,25,8627
1609584777096,1609584785716,25,8620
1609584790858,1609584799452,25,8594
