starttime,endtime,label,value,average
1609588751126,1609588751441,5,315,309.2
1609588752525,1609588752833,5,308,
1609588753764,1609588754070,5,306,
1609588754991,1609588755305,5,314,
1609588756040,1609588756349,5,309,
1609588757178,1609588757485,5,307,
1609588758434,1609588758736,5,302,
1609588759510,1609588759823,5,313,
1609588760514,1609588760820,5,306,
1609588761631,1609588761943,5,312,
1609588767326,1609588768459,10,1133,1146.6
1609588771662,1609588772853,10,1191,
1609588774768,1609588775905,10,1137,
1609588777663,1609588778811,10,1148,
1609588780206,1609588781318,10,1112,
1609588782400,1609588783559,10,1159,
1609588784643,1609588785778,10,1135,
1609588786603,1609588787743,10,1140,
1609588788557,1609588789717,10,1160,
1609588790675,1609588791826,10,1151,
1609588799059,1609588801671,15,2612,2622.09090909091
1609588802652,1609588805260,15,2608,
1609588807150,1609588809749,15,2599,
1609588810800,1609588813419,15,2619,
1609588814296,1609588816868,15,2572,
1609588817659,1609588820283,15,2624,
1609588821131,1609588823759,15,2628,
1609588824667,1609588827311,15,2644,
1609588828081,1609588830721,15,2640,
1609588831630,1609588834287,15,2657,
1609588835323,1609588837963,15,2640,
1609588847441,1609588852133,20,4692,4695.2
1609588853367,1609588858027,20,4660,
1609588859371,1609588864076,20,4705,
1609588865157,1609588869894,20,4737,
1609588871698,1609588876435,20,4737,
1609588877544,1609588882227,20,4683,
1609588883197,1609588887885,20,4688,
1609588889008,1609588893715,20,4707,
1609588894602,1609588899303,20,4701,
1609588900181,1609588904823,20,4642,
1609588910150,1609588917570,25,7420,7437.4
1609588920278,1609588927745,25,7467,
1609588929055,1609588936509,25,7454,
1609588937437,1609588944865,25,7428,
1609588945834,1609588953229,25,7395,
1609588954192,1609588961635,25,7443,
1609588962703,1609588970137,25,7434,
1609588971051,1609588978444,25,7393,
1609588979289,1609588986708,25,7419,
1609588987587,1609588995108,25,7521,
